player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Seth Lugo,76.0,225.0,1989-11-17,2016-07-01,R,R,lugos001,
,Brandon McCarthy,79.0,220.0,1983-07-07,2005-05-22,R,R,mccab001,
,Ross Stripling,75.0,210.0,1989-11-23,2016-04-08,R,R,strir001,
,Brandon Morrow,75.0,190.0,1984-07-26,2007-04-03,R,R,morrb001,
,Josh Fields,72.0,180.0,1985-08-19,2013-04-02,R,R,fielj002,
,Kenley Jansen,78.0,220.0,1987-09-30,2010-07-24,B,R,jansk001,
,Alex Wood,76.0,215.0,1991-01-12,2013-05-30,R,L,wooda002,
,Pedro Baez,74.0,230.0,1988-03-11,2014-05-05,R,R,baezp001,
,Luis Avilan,74.0,220.0,1989-07-19,2012-07-14,L,L,avill001,
,Brock Stewart,75.0,210.0,1991-10-03,2016-06-29,L,R,stewb001,
,Rich Hill,77.0,205.0,1980-03-11,2005-06-15,L,L,hillr001,
,Chris O'Grady,76.0,225.0,1990-04-17,2017-07-08,R,L,ograc001,
,Jerad Eickhoff,76.0,240.0,1990-07-02,2015-08-21,R,R,eickj001,
,Hoby Milner,74.0,165.0,1991-01-13,2017-06-24,L,L,milnh001,
,Adam Morgan,73.0,195.0,1990-02-27,2015-06-21,L,L,morga001,
,Nick Pivetta,77.0,220.0,1993-02-14,2017-04-30,R,R,piven001,
,Robert Stephenson,74.0,200.0,1993-02-24,2016-04-07,R,R,stepr002,
,Drew Storen,74.0,180.0,1987-08-11,2010-05-17,B,R,stord001,
,Blake Wood,77.0,230.0,1985-08-08,2010-05-12,R,R,woodb004,
,Wandy Peralta,72.0,210.0,1991-07-27,2016-09-04,L,L,peraw002,
,Sal Romano,77.0,270.0,1993-10-12,2017-04-16,L,R,romas001,
,Michael Lorenzen,75.0,205.0,1992-01-04,2015-04-29,R,R,lorem002,
,Hunter Cervenka,73.0,225.0,1990-01-03,2016-04-12,L,L,cervh001,
,Tony Cingrani,76.0,200.0,1989-07-05,2012-09-09,L,L,cingt001,
,Tim Adleman,77.0,225.0,1987-11-13,2016-05-01,R,R,adlet001,
,Asher Wojciechowski,76.0,235.0,1988-12-21,2015-04-09,R,R,wojca001,
,Kevin Shackelford,77.0,210.0,1989-04-07,2017-06-29,R,R,shack001,
,Luis Castillo,74.0,190.0,1992-12-12,2017-06-23,R,R,castl003,
,Odrisamer Despaigne,72.0,195.0,1987-04-04,2014-06-23,R,R,despo001,
,Raisel Iglesias,74.0,185.0,1990-01-04,2015-04-12,R,R,igler001,
,Sean Doolittle,75.0,210.0,1986-09-26,2012-06-05,L,L,dools001,
,Sammy Solis,77.0,230.0,1988-08-10,2015-04-30,R,L,solis001,
,Joe Blanton,75.0,225.0,1980-12-11,2004-09-21,R,R,blanj001,
,A.J. Cole,77.0,200.0,1992-01-05,2015-04-28,R,R,colea002,
,Brandon Kintzler,73.0,185.0,1984-08-01,2010-09-10,R,R,kintb001,
,Jon Gray,76.0,235.0,1991-11-05,2015-08-04,R,R,grayj003,
,Michael Dunn,73.0,185.0,1985-05-23,2009-09-04,L,L,dunnm002,
,Jake McGee,75.0,190.0,1986-08-06,2010-09-14,L,L,mcgej001,
,Adam Ottavino,77.0,230.0,1985-11-22,2010-05-29,L,R,ottaa001,
,Jeff Hoffman,77.0,225.0,1993-01-08,2016-08-20,R,R,hoffj003,
,Chris Rusin,74.0,195.0,1986-10-22,2012-08-21,L,L,rusic001,
,Carlos Estevez,76.0,210.0,1992-12-28,2016-04-23,R,R,estec001,
,German Marquez,73.0,185.0,1995-02-22,2016-09-08,R,R,marqg001,
,Javy Guerra,72.0,205.0,1985-10-31,2011-05-15,R,R,guerj002,
,Antonio Senzatela,73.0,180.0,1995-01-21,2017-04-06,R,R,senza001,
,Ty Blach,74.0,200.0,1990-10-20,2016-09-05,R,L,blact002,
,Kyle Crick,76.0,220.0,1992-11-30,2017-06-22,L,R,crick001,
,Madison Bumgarner,76.0,215.0,1989-08-01,2009-09-08,R,L,bumgm001,
,Mark Melancon,74.0,215.0,1985-03-28,2009-04-26,R,R,melam001,
,Hunter Strickland,76.0,220.0,1988-09-24,2014-09-01,R,R,strih001,
,Cory Gearrin,75.0,200.0,1986-04-14,2011-04-25,R,R,gearc001,
,Matt Cain,75.0,230.0,1984-10-01,2005-08-29,R,R,cainm001,
,Albert Suarez,75.0,235.0,1989-10-08,2016-05-08,R,R,suara001,
,Josh Osich,74.0,230.0,1988-09-03,2015-07-03,L,L,osicj001,
,Travis Wood,71.0,165.0,1987-02-06,2010-07-01,R,L,woodt004,
,Phil Maton,75.0,220.0,1995-03-25,2017-06-11,R,R,matop002,
,Kirby Yates,70.0,195.0,1987-03-25,2014-06-07,L,R,yatek001,
,Jose Torres,74.0,175.0,1993-09-24,2016-09-22,L,L,torrj001,
,Dinelson Lamet,76.0,187.0,1992-07-18,2017-05-25,R,R,lamed001,
,Brad Hand,75.0,200.0,1990-03-20,2011-06-07,L,L,handb001,
,Craig Stammen,75.0,210.0,1984-03-09,2009-05-21,R,R,stamc001,
,Clayton Richard,77.0,240.0,1983-09-12,2008-07-23,L,L,richc002,
,Carter Capps,77.0,220.0,1990-08-07,2012-08-03,R,R,cappc001,
,Ben Lively,76.0,190.0,1992-03-05,2017-06-03,R,R,liveb001,
,Dillon Peters,69.0,195.0,1992-08-31,2017-09-01,L,L,peted001,
,Yacksel Rios,75.0,185.0,1993-06-27,2017-08-22,R,R,riosy001,
,Jake Thompson,76.0,235.0,1994-01-31,2016-08-06,R,R,thomj007,
,Ryan Madson,78.0,180.0,1980-08-28,2003-09-27,L,R,madsr001,
,Stephen Strasburg,76.0,220.0,1988-07-20,2010-06-08,R,R,stras001,
,Shawn Kelley,74.0,215.0,1984-04-26,2009-04-10,R,R,kells001,
,Jeremy Jeffress,72.0,195.0,1987-09-21,2010-09-01,R,R,jeffj001,
,Jacob Barnes,74.0,220.0,1990-04-14,2016-06-03,R,R,barnj002,
,Wei-Chung Wang,73.0,180.0,1992-04-25,2014-04-14,L,L,wangw001,
,Junior Guerra,72.0,205.0,1985-01-16,2015-06-12,R,R,guerj003,
,Josh Hader,75.0,185.0,1994-04-07,2017-06-10,L,L,hadej001,
,Jared Hughes,79.0,235.0,1985-07-04,2011-09-07,R,R,hughj001,
,Anthony Swarzak,76.0,225.0,1985-09-10,2009-05-23,R,R,swara001,
,Aaron Wilkerson,75.0,190.0,1989-05-24,2017-09-15,R,R,wilka003,
,Zach Davies,72.0,160.0,1993-02-07,2015-09-02,R,R,daviz001,
,Carlos Torres,74.0,195.0,1982-10-22,2009-07-22,R,R,torrc001,
,Oliver Drake,76.0,215.0,1987-01-13,2015-05-23,R,R,drako001,
,Matt Garza,76.0,185.0,1983-11-26,2006-08-11,R,R,garzm001,
,Brandon Woodruff,76.0,215.0,1993-02-10,2017-08-04,L,R,woodb005,
,Taylor Williams,71.0,195.0,1991-07-21,2017-09-06,B,R,willt003,
,Tom Milone,73.0,205.0,1987-02-16,2011-09-03,L,L,milot001,
,Chris Flexen,75.0,250.0,1994-07-01,2017-07-27,R,R,flexc001,
,Jacob Rhame,73.0,215.0,1993-03-16,2017-09-02,R,R,rhamj001,
,Jamie Callahan,74.0,230.0,1994-08-24,2017-09-02,R,R,callj001,
,Jeurys Familia,76.0,230.0,1989-10-10,2012-09-04,R,R,famij001,
,Kevin McGowan,77.0,233.0,1991-10-18,2017-08-22,R,R,mcgok001,
,Luke Jackson,74.0,205.0,1991-08-24,2015-09-04,R,R,jackl001,
,Rex Brothers,72.0,205.0,1987-12-18,2011-06-06,L,L,brotr001,
,Luiz Gohara,75.0,210.0,1996-07-31,2017-09-06,L,L,gohal001,
,A.J. Minter,72.0,205.0,1993-09-02,2017-08-23,L,L,minta001,
,Daniel Winkler,75.0,200.0,1990-02-02,2015-09-21,R,R,winkd001,
,Lucas Sims,74.0,220.0,1994-05-10,2017-08-01,R,R,simsl001,
,Matt Wisler,75.0,195.0,1992-09-12,2015-06-19,R,R,wislm001,
,Max Fried,76.0,200.0,1994-01-18,2017-08-08,L,L,friem001,
