player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,R.A. Dickey,75.0,205.0,1974-10-29,2001-04-22,R,R,dickr001,
,Justin Nicolino,75.0,190.0,1991-11-22,2015-06-20,L,L,nicoj001,
,Sam Freeman,71.0,170.0,1987-06-24,2012-06-01,R,L,frees001,
,Jason Motte,72.0,195.0,1982-06-22,2008-09-03,R,R,mottj001,
,George Springer,75.0,205.0,1989-09-19,2014-04-16,R,R,sprig001,
,Josh Reddick,74.0,180.0,1987-02-19,2009-07-31,L,R,reddj001,
,Jose Altuve,66.0,170.0,1990-05-06,2011-07-20,R,R,altuj001,
,Carlos Correa,76.0,210.0,1994-09-22,2015-06-08,R,R,corrc001,
,Evan Gattis,76.0,230.0,1986-08-18,2013-04-03,R,R,gatte001,
,Yulieski Gurriel,72.0,190.0,1984-06-09,2016-08-21,R,R,gurry001,
,Alex Bregman,72.0,180.0,1994-03-30,2016-07-25,R,R,brega001,
,Nori Aoki,69.0,180.0,1982-01-05,2012-04-06,L,R,aokin001,
,Joe Musgrove,77.0,265.0,1992-12-04,2016-08-02,R,R,musgj001,
,James Hoyt,78.0,230.0,1986-09-30,2016-08-03,R,R,hoytj001,
,Marwin Gonzalez,73.0,195.0,1989-03-14,2012-04-06,B,R,gonzm002,
,Jake Marisnick,75.0,225.0,1991-03-30,2013-07-23,R,R,marij002,
,Luke Gregerson,75.0,200.0,1984-05-14,2009-04-06,L,R,gregl001,
,Brad Peacock,73.0,175.0,1988-02-02,2011-09-06,R,R,peacb001,
,Carlos Beltran,72.0,175.0,1977-04-24,1998-09-14,B,R,beltc001,
,Brian McCann,75.0,210.0,1984-02-20,2005-06-10,L,R,mccab002,
,Dallas Keuchel,75.0,210.0,1988-01-01,2012-06-17,L,L,keucd001,
,Michael Feliz,76.0,225.0,1993-06-28,2015-05-31,R,R,felim001,
,Tony Sipp,72.0,190.0,1983-07-12,2009-04-22,L,L,sippt001,
,Lance McCullers,74.0,205.0,1993-10-02,2015-05-18,L,R,mccul002,
,Chris Devenski,75.0,210.0,1990-11-13,2016-04-08,R,R,devec001,
,Will Harris,76.0,225.0,1984-08-28,2012-08-13,R,R,harrw002,
,Ken Giles,74.0,205.0,1990-09-20,2014-06-12,R,R,gilek001,
,Kole Calhoun,70.0,190.0,1987-10-14,2012-05-22,L,L,calhk001,
,Andrelton Simmons,74.0,170.0,1989-09-04,2012-06-02,R,R,simma001,
,Mike Trout,73.0,200.0,1991-08-07,2011-07-08,R,R,troum001,
,Albert Pujols,75.0,210.0,1980-01-16,2001-04-02,R,R,pujoa001,
,Luis Valbuena,70.0,200.0,1985-11-30,2008-09-02,L,R,valbl001,
,Martin Maldonado,73.0,225.0,1986-08-16,2011-09-03,R,R,maldm001,
,Ben Revere,69.0,175.0,1988-05-03,2010-09-07,L,R,reveb001,
,Danny Espinosa,72.0,190.0,1987-04-25,2010-09-01,B,R,espid001,
,Jesse Chavez,74.0,175.0,1983-08-21,2008-08-27,R,R,chavj001,
,Yusmeiro Petit,72.0,230.0,1984-11-22,2006-05-14,R,R,petiy001,
,Cliff Pennington,71.0,185.0,1984-06-15,2008-08-12,B,R,pennc001,
,Jefry Marte,73.0,220.0,1991-06-21,2015-07-05,R,R,martj007,
,Jose Alvarez,71.0,180.0,1989-05-06,2013-06-09,L,L,alvaj003,
,Keynan Middleton,74.0,185.0,1993-09-12,2017-05-05,R,R,middk001,
,Bud Norris,72.0,225.0,1985-03-02,2009-07-29,R,R,norrb001,
,Nolan Fontana,71.0,195.0,1991-06-06,2017-05-22,L,R,fontn001,
,Blake Parker,75.0,225.0,1985-06-19,2012-05-17,R,R,parkb001,
,Cameron Maybin,76.0,205.0,1987-04-04,2007-08-17,R,R,maybc001,
,J.C. Ramirez,76.0,250.0,1988-08-16,2013-06-23,R,R,ramij002,
,Christian Colon,70.0,190.0,1989-05-14,2014-07-01,R,R,coloc002,
,Vance Worley,74.0,230.0,1987-09-25,2010-07-24,R,R,worlv001,
,Matt Shoemaker,74.0,225.0,1986-09-27,2013-09-20,R,R,shoem001,
,Mike Morin,76.0,220.0,1991-05-03,2014-04-30,R,R,morim002,
,Deolis Guerra,77.0,245.0,1989-04-17,2015-06-27,R,R,guerd001,
,David Hernandez,75.0,215.0,1985-05-13,2009-05-28,R,R,hernd002,
,Cesar Hernandez,70.0,175.0,1990-05-23,2013-05-29,B,R,hernc005,
,Howie Kendrick,70.0,195.0,1983-07-12,2006-04-26,R,R,kendh001,
,Aaron Altherr,77.0,220.0,1991-01-14,2014-06-16,R,R,altha001,
,Tommy Joseph,73.0,225.0,1991-07-16,2016-05-13,R,R,joset001,
,Michael Saunders,76.0,210.0,1986-11-19,2009-07-25,L,R,saunm001,
,Cameron Rupp,73.0,240.0,1988-09-28,2013-09-10,R,R,ruppc001,
,Maikel Franco,73.0,180.0,1992-08-26,2014-09-02,R,R,franm004,
,Freddy Galvis,70.0,170.0,1989-11-14,2012-04-05,B,R,galvf001,
,Jeremy Hellickson,73.0,185.0,1987-04-08,2010-08-02,R,R,hellj001,
,Joely Rodriguez,73.0,200.0,1991-11-14,2016-09-11,L,L,rodrj004,
,Brock Stassi,74.0,190.0,1989-08-07,2017-04-03,L,L,stasb001,
,Mark Leiter,72.0,195.0,1991-03-13,2017-04-28,R,R,leitm002,
,Ty Kelly,72.0,185.0,1988-07-20,2016-05-24,B,R,kellt001,
,Vincent Velasquez,75.0,205.0,1992-06-07,2015-06-10,R,R,velav001,
,Luis Garcia,74.0,215.0,1987-01-30,2013-07-10,R,R,garcl005,
,Edubray Ramos,72.0,160.0,1992-12-19,2016-06-24,R,R,ramoe002,
,Andres Blanco,70.0,150.0,1984-04-11,2004-04-17,B,R,blana001,
,Odubel Herrera,71.0,200.0,1991-12-29,2015-04-06,L,R,herro001,
,Hector Neris,74.0,175.0,1989-06-14,2014-08-05,R,R,nerih001,
,Andrew Knapp,73.0,195.0,1991-11-09,2017-04-06,B,R,knapa001,
,Aaron Nola,73.0,195.0,1993-06-04,2015-07-21,R,R,nolaa001,
,Ricardo Pinto,72.0,165.0,1994-01-20,2017-05-31,R,R,pintr002,
,Jeanmar Gomez,75.0,170.0,1988-02-10,2010-07-18,R,R,gomej002,
,Pat Neshek,75.0,205.0,1980-09-04,2006-07-07,B,R,neshp001,
,Joaquin Benoit,75.0,205.0,1977-07-26,2001-08-08,R,R,benoj001,
,Gregor Blanco,71.0,170.0,1983-12-24,2008-03-30,L,L,blang001,
,Nick Ahmed,75.0,205.0,1990-03-15,2014-06-29,R,R,ahmen001,
,Paul Goldschmidt,75.0,245.0,1987-09-10,2011-08-01,R,R,goldp001,
,Chris Owings,70.0,180.0,1991-08-12,2013-09-03,R,R,owinc001,
,Yasmany Tomas,74.0,255.0,1990-11-14,2015-04-15,R,R,tomay001,
,Brandon Drury,73.0,215.0,1992-08-21,2015-09-01,R,R,drurb001,
,Jake Lamb,75.0,220.0,1990-10-09,2014-08-07,L,R,lambj001,
,Jeff Mathis,72.0,180.0,1983-03-31,2005-08-12,R,R,mathj001,
,Zack Greinke,74.0,190.0,1983-10-21,2004-05-22,R,R,greiz001,
,Jeff Locke,73.0,215.0,1987-11-20,2011-09-10,L,L,lockj001,
,Reymond Fuentes,72.0,160.0,1991-02-12,2013-08-26,L,L,fuenr001,
,Chris Herrmann,72.0,200.0,1987-11-24,2012-09-16,L,R,herrc001,
,Daniel Descalso,70.0,190.0,1986-10-19,2010-09-18,L,R,descd001,
,Andrew Chafin,74.0,220.0,1990-06-17,2014-08-13,R,L,chafa001,
,David Peralta,74.0,215.0,1987-08-14,2014-06-01,L,L,perad001,
,Archie Bradley,76.0,230.0,1992-08-10,2015-04-11,R,R,brada001,
,Fernando Rodney,71.0,170.0,1977-03-18,2002-05-04,R,R,rodnf001,
,Chris Iannetta,71.0,195.0,1983-04-08,2006-08-27,R,R,iannc001,
,Patrick Corbin,74.0,185.0,1989-07-19,2012-04-30,L,L,corbp001,
,Jorge de la Rosa,73.0,190.0,1981-04-05,2004-08-14,L,L,delaj001,
,Tom Wilhelmsen,78.0,230.0,1983-12-16,2011-04-03,R,R,wilht001,
,Randall Delgado,75.0,200.0,1990-02-09,2011-06-17,R,R,delgr001,
,T.J. McFarland,75.0,220.0,1989-06-08,2013-04-06,L,L,mcfat001,
,J.J. Hoover,75.0,230.0,1987-08-13,2012-04-25,R,R,hoovj002,
,Braden Shipley,73.0,190.0,1992-02-22,2016-07-25,R,R,shipb001,
,Jaycob Brugman,72.0,190.0,1992-01-18,2017-06-09,L,L,brugj001,
,Jed Lowrie,72.0,180.0,1984-04-17,2008-04-15,B,R,lowrj001,
,Ryon Healy,77.0,225.0,1992-01-10,2016-07-15,R,R,healr001,
,Khris Davis,71.0,200.0,1987-12-21,2013-04-01,R,R,davik003,
,Yonder Alonso,74.0,210.0,1987-04-08,2010-09-01,L,R,alony001,
,Chad Pinder,74.0,195.0,1992-03-29,2016-08-20,R,R,pindc001,
,Matt Joyce,74.0,185.0,1984-08-03,2008-05-05,L,R,joycm001,
,Josh Phegley,70.0,220.0,1988-02-12,2013-07-05,R,R,phegj001,
,Jharel Cotton,71.0,195.0,1992-01-19,2016-09-07,R,R,cottj001,
,Josh Smith,74.0,220.0,1987-08-07,2015-06-23,R,R,smitj004,
